ID,Wikidata ID,Name,Wikidata Name,Beziehung Namen,von,bis,Jahre plausibel,typ
1931_55993,Q108198,Ernst Sachs,Ernst Sachs,identisch,1867-11-22,1932-07-02,plausibel,Mensch
1931_55993,Q113141,Ernst Sachs,Ernst Sachs,identisch,1880-12-24,1956-08-23,plausibel,Mensch
1931_55993,Q16064254,Ernst Sachs,Ernst Sachs,identisch,-,-,unbekannt,Mensch
1931_55993,Q1359999,Ernst Sachs,Ernst Sachs,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_55994,Q108198,Ernst Sachs,Ernst Sachs,identisch,1867-11-22,1932-07-02,plausibel,Mensch
1931_55994,Q113141,Ernst Sachs,Ernst Sachs,identisch,1880-12-24,1956-08-23,plausibel,Mensch
1931_55994,Q16064254,Ernst Sachs,Ernst Sachs,identisch,-,-,unbekannt,Mensch
1931_55994,Q1359999,Ernst Sachs,Ernst Sachs,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_55995,Q108198,Ernst Sachs,Ernst Sachs,identisch,1867-11-22,1932-07-02,plausibel,Mensch
1931_55995,Q113141,Ernst Sachs,Ernst Sachs,identisch,1880-12-24,1956-08-23,plausibel,Mensch
1931_55995,Q16064254,Ernst Sachs,Ernst Sachs,identisch,-,-,unbekannt,Mensch
1931_55995,Q1359999,Ernst Sachs,Ernst Sachs,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_55999,Q1379454,Eva Sachs,Eva Sachs,identisch,-,-,unbekannt,Mensch
1931_56010,Q96646,Georg Sachs,Georg Sachs,identisch,1896-04-05,1960-10-30,plausibel,Mensch
1931_56011,Q96646,Georg Sachs,Georg Sachs,identisch,1896-04-05,1960-10-30,plausibel,Mensch
1931_56012,Q96646,Georg Sachs,Georg Sachs,identisch,1896-04-05,1960-10-30,plausibel,Mensch
1931_56013,Q1249889,Gerhard Sachs,Gerhard Sachs,identisch,-,-,unbekannt,Mensch
1931_56018,Q19543,Hans Sachs,Hans Sachs,identisch,1494-11-05,1576-01-19,nein,Mensch
1931_56018,Q415339,Hans Sachs,Hans Sachs,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_56018,Q96625,Hans Sachs,Hans Sachs,identisch,1877-06-06,1945-03-25,plausibel,Mensch
1931_56018,Q1306382,Hans Sachs,Hans Sachs,identisch,-,-,unbekannt,Mensch
1931_56018,Q118124,Hans Sachs,Hans Sachs,identisch,1881-08-11,1974-03-21,plausibel,Mensch
1931_56019,Q19543,Hans Sachs,Hans Sachs,identisch,1494-11-05,1576-01-19,nein,Mensch
1931_56019,Q415339,Hans Sachs,Hans Sachs,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_56019,Q96625,Hans Sachs,Hans Sachs,identisch,1877-06-06,1945-03-25,plausibel,Mensch
1931_56019,Q1306382,Hans Sachs,Hans Sachs,identisch,-,-,unbekannt,Mensch
1931_56019,Q118124,Hans Sachs,Hans Sachs,identisch,1881-08-11,1974-03-21,plausibel,Mensch
1931_56020,Q19543,Hans Sachs,Hans Sachs,identisch,1494-11-05,1576-01-19,nein,Mensch
1931_56020,Q415339,Hans Sachs,Hans Sachs,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_56020,Q96625,Hans Sachs,Hans Sachs,identisch,1877-06-06,1945-03-25,plausibel,Mensch
1931_56020,Q1306382,Hans Sachs,Hans Sachs,identisch,-,-,unbekannt,Mensch
