id,lat,lon
1931_348,52.4965957,13.3445097
1931_349,,
1931_350,52.42963275,13.31930335
1931_351,,
1931_352,,
1931_353,52.5509672,13.3844296
1931_354,52.4901456,13.3366064
1931_355,52.4955508,13.3505192
1931_356,52.4282201,13.31449065
1931_357,,
1931_358,52.4871975,13.3349606
1931_359,52.5984932,13.3323736
1931_360,,
1931_361,52.477235,13.3294172
1931_362,52.4955508,13.3505192
1931_363,52.4885449,13.5605352
1931_364,52.4731983,13.309536
1931_365,52.5109712,13.2938282
1931_366,52.5093767,13.309432
1931_367,,
1931_368,52.6358953,13.2742095
1931_369,52.5165612,13.4688385
1931_370,52.4548523,13.27760635
1931_371,52.5022136,13.3036526
1931_372,52.5118744,13.2885318
1931_373,52.4951194,13.334592
1931_374,,
1931_375,52.5098372,13.3611351
1931_376,52.4639569,13.3347968
1931_377,52.420622,13.3635949
1931_378,52.5545041,13.4223474
1931_379,52.5202543,13.3457655
1931_380,52.502808,13.3372300489116
1931_381,52.49980605,13.3000770342753
1931_382,52.5038506,13.4477171
1931_383,52.5236669,13.339855
1931_384,52.4363117,13.3465558
1931_385,52.5020058,13.2986456
1931_386,52.5693809,13.4034077
1931_387,52.5270689,13.4249098
1931_388,52.5209629,13.5179098
1931_389,52.5693809,13.4034077
1931_390,52.5461883,13.3517009
1931_391,52.5032712,13.3134354
1931_392,52.5465854,13.351928
1931_393,52.4989246,13.353507
1931_394,52.4992697,13.2978851
1931_395,52.50414295,13.3422328058932
1931_396,52.5198361,13.6352809
1931_397,52.5295794,13.4367096
1931_398,52.4387007,13.2988772957607
1931_399,52.5146635,13.465989
1931_400,52.4974069,13.3905525
1931_401,52.5041871,13.3597314
1931_402,52.4894806,13.4266559
1931_403,52.4908675,13.513849
1931_404,52.5023877,13.3154209
1931_405,52.5014735,13.3109936
1931_406,52.47831735,13.4250800859175
1931_407,52.5156619,13.6161194
1931_408,52.4548283,13.2849379
1931_409,52.5023877,13.3154209
1931_410,52.4370369,13.3375497
1931_411,52.49881965,13.3082561986755
1931_412,52.5408211,13.4143162
1931_413,52.554237,13.411392
1931_414,52.4911503,13.3264983
1931_415,52.5417115,13.4202455
1931_416,52.5077595,13.2953638
1931_417,52.5289049,13.3851404
1931_418,52.5277761,13.4084405
1931_419,52.5311729,13.4033007
1931_420,,
1931_421,52.5057797,13.3406957
1931_422,52.5202501,13.3418694260319
1931_423,52.518799,13.3346402
1931_424,,
1931_425,,
1931_426,52.5011188,13.3273333
1931_427,52.5111111,13.2832485
1931_428,52.5231067,13.3396311
1931_429,52.5049077,13.3490336
1931_430,52.5006828,13.3054986
1931_431,52.4984207,13.2939915
1931_432,52.5147001,13.4355086
1931_433,52.5522633,13.3385456
1931_434,52.479761,13.3230966
1931_435,52.5112785,13.2863551
1931_436,,
1931_437,52.5079173,13.4672439
1931_438,,
1931_439,52.4797725,13.3247143
1931_440,52.4914091,13.3483248
1931_441,52.5054508,13.4979801
1931_442,52.5257252,13.3395262
1931_443,52.5261627,13.3284153
1931_444,52.5289049,13.3851404
1931_445,52.5327323,13.2074366
1931_446,52.4880482,13.2977899
1931_447,52.5087622,13.3201174
1931_448,52.4922377,13.319459
1931_449,52.4508939,13.3003574
1931_450,52.5122677,13.4017637
1931_451,52.5021037,13.3360694
1931_452,52.5192642,13.2538425
1931_453,52.4890124,13.4514799
1931_454,52.4734544,13.3326957
1931_455,52.5381989,13.2066169
1931_456,52.4902782,13.4235239
1931_457,52.5117658,13.3093157
1931_458,52.5336847,13.3971201
1931_459,,
1931_460,52.5033805,13.3444326
1931_461,52.5519673,13.3385588
1931_462,52.4334455,13.2931848
1931_463,52.4973076,13.3114362
1931_464,,
1931_465,52.4338802,13.2932096
1931_466,52.52550595,13.3068063006747
1931_467,52.5043656,13.3444661
1931_468,52.5009258,13.3136612
1931_469,52.5374406,13.3932617
1931_470,52.53607775,13.400138331828
1931_471,52.5009867,13.2963536
1931_472,52.5327323,13.2074366
